,x,y,z,MaximumInscribedSphereRadius,Blanking,CenterlineIds,TractIds,GroupIds
171,63.79014,-56.224495,-237.69585,2.1823296019542155,0.0,12.0,12.0,42.0
172,59.35526,-54.025032,-236.92255,2.2755643100126406,0.0,12.0,12.0,42.0
173,58.46712,-51.78625,-236.90945,2.0426116417167792,0.0,12.0,14.0,44.0
174,59.333565,-46.98087,-235.06918,1.8696268492508408,0.0,12.0,14.0,44.0
175,60.62495,-42.348324,-232.89229,1.8755281887368929,0.0,12.0,14.0,44.0
176,81.354645,-49.91802,-241.99306,3.27790637415177,0.0,13.0,8.0,45.0
177,78.48956,-51.46801,-244.8271,2.8608550113065974,0.0,13.0,8.0,45.0
178,75.53718,-52.969765,-247.6012,2.8204817003286564,0.0,13.0,8.0,45.0
179,72.76579,-54.497803,-250.48196,2.789602188359054,0.0,13.0,8.0,45.0
180,71.869644,-54.90561,-253.3483,2.6733983733722257,0.0,13.0,10.0,47.0
181,70.435844,-56.3868,-257.22305,2.338868954673095,0.0,13.0,10.0,47.0
182,70.233665,-56.604336,-261.64932,2.364725736767271,0.0,13.0,10.0,47.0
183,70.31405,-56.589874,-266.0677,2.3716014207882816,0.0,13.0,10.0,47.0
184,70.12597,-56.786648,-270.46622,2.3420606873630936,0.0,13.0,10.0,47.0
185,70.71876,-56.432983,-251.12552,2.4641626940209873,0.0,14.0,10.0,48.0
186,67.63488,-59.15827,-252.33566,2.4232682490653197,0.0,14.0,10.0,48.0
187,64.607315,-61.728806,-254.04604,2.5040093127513092,0.0,14.0,10.0,48.0
188,61.70005,-64.4045,-255.78943,2.5160720213185472,0.0,14.0,10.0,48.0
189,58.766186,-67.11744,-257.45233,2.523138302449785,0.0,14.0,10.0,48.0
190,64.27401,-58.67272,-238.27892,2.3769484705449115,0.0,15.0,12.0,49.0
191,60.706078,-60.971703,-238.81923,2.105265984265334,0.0,15.0,12.0,49.0
192,57.054695,-63.011696,-239.72658,1.8330083029054702,0.0,15.0,12.0,49.0
193,53.249725,-64.73079,-240.69318,1.845313870656497,0.0,15.0,12.0,49.0
194,49.45674,-66.42078,-241.77013,1.8373237456500477,0.0,15.0,12.0,49.0
